Año,Fecha - mes,ipc acumulado
2016, jul 16,93.7
2017, ene 17,101.6
2017, ago 17,115.4
2018, feb 18,130.1
2018, ago 18,155.1
2019, ene 19,189.6
2019, jul 19,230.5
2020, ene 20,289.8
2020, jul 20,328.2
2021, ene 21,401.5
2021, jul 21,510.4
2022, ene 22,633.4
2023, dic 22,1134.6
2023, jun 23,1709.6
2024, may 24,6351.7
2025, dic 24,7694.0
